Size,Inner Dimension,Outer Dimension,Width,Dynamic(Cr),Static(Cor),Weight(lb)
5200,10,30,14.2,1200,755,0.108
5201,12,32,15.8,1580,1030,.026
5202,15,35,15.8,1740,1180,.141
5203,17,40,17.4,2210,1540,.212
5204,20,47,20.6,3000,2410,.337
5205,25,52,20.6,3550,2710,.386
5206,30,62,23.8,4950,3900,.631
5207,35,72,26.9,6550,5300,.961
5208,40,80,30.1,7400,6100,1.30
5209,45,85,30.1,8300,6900,1.41
5210,50,90,30.1,8850,7700,1.52
5211,55,100,33.3,9180,8490,2.46
5212,60,110,36.5,13700,13200,3.14
5213,65,120,38.1,14900,14700,4.22
5214,70,125,39.6,16200,16200,4.54
5215,75,130,41.2,17700,17100,5.46
5216,80,140,44.4,18620,17900,6.56
