Size,C.S. Inch,I.D. Inch,O.D. Inch,C.S. MM,I.D. MM,O.D. MM,Size
001,0.040,0.029,0.109,1.02,0.74,2.78,001
002,0.050,0.042,0.142,1.27,1.07,3.61,002
003,0.060,0.056,0.176,1.52,1.42,4.46,003
004,0.070,0.070,0.210,1.78,1.78,5.34,004
005,0.070,0.101,0.241,1.78,2.57,6.13,005
006,0.070,0.114,0.254,1.78,2.90,6.46,006
007,0.070,0.145,0.285,1.78,3.68,7.24,007
008,0.070,0.176,0.316,1.78,4.47,8.03,008
009,0.070,0.208,0.348,1.78,5.28,8.84,009
010,0.070,0.239,0.379,1.78,6.07,9.63,010
011,0.070,0.301,0.441,1.78,7.65,11.21,011
012,0.070,0.364,0.504,1.78,9.25,12.81,012
013,0.070,0.426,0.566,1.78,10.82,14.38,013
014,0.070,0.489,0.629,1.78,12.42,15.98,014
015,0.070,0.551,0.691,1.78,14.00,17.56,015
016,0.070,0.614,0.754,1.78,15.60,19.16,016
017,0.070,0.676,0.816,1.78,17.17,20.73,017
018,0.070,0.739,0.879,1.78,18.77,22.33,018
019,0.070,0.801,0.941,1.78,20.35,23.91,019
020,0.070,0.864,1.004,1.78,21.95,25.51,020
021,0.070,0.926,1.066,1.78,23.52,27.08,021
022,0.070,0.989,1.129,1.78,25.12,28.68,022
023,0.070,1.051,1.191,1.78,26.70,30.26,023
024,0.070,1.114,1.254,1.78,28.30,31.86,024
025,0.070,1.176,1.316,1.78,29.87,33.43,025
026,0.070,1.239,1.379,1.78,31.47,35.03,026
027,0.070,1.301,1.441,1.78,33.05,36.61,027
028,0.070,1.364,1.504,1.78,34.65,38.21,028
029,0.070,1.489,1.629,1.78,37.82,41.38,029
030,0.070,1.614,1.754,1.78,41.00,44.56,030
