Size,C.S. Inch,I.D. Inch,O.D. Inch,C.S. MM,I.D. MM,O.D. MM,Size
161,0.103,5.487,5.693,2.62,139.37,144.61,161
162,0.103,5.737,5.943,2.62,145.72,150.96,162
163,0.103,5.987,6.193,2.62,152.07,157.31,163
164,0.103,6.237,6.443,2.62,158.42,163.66,164
165,0.103,6.487,6.693,2.62,164.77,170.01,165
166,0.103,6.737,6.943,2.62,171.12,176.36,166
167,0.103,6.987,7.193,2.62,177.47,182.71,167
168,0.103,7.237,7.443,2.62,183.82,189.06,168
169,0.103,7.487,7.693,2.62,190.17,195.41,169
170,0.103,7.737,7.943,2.62,196.52,201.76,170
171,0.103,7.987,8.193,2.62,202.87,208.11,171
172,0.103,8.237,8.443,2.62,209.22,214.46,172
173,0.103,8.487,8.693,2.62,215.57,220.81,173
174,0.103,8.737,8.943,2.62,221.92,227.16,174
175,0.103,8.987,9.193,2.62,228.27,233.51,175
176,0.103,9.237,9.443,2.62,234.62,239.86,176
177,0.103,9.487,9.693,2.62,240.97,246.21,177
178,0.103,9.737,9.943,2.62,247.32,252.56,178
