Size, C.S. Inch, I.D. Inch, O.D. Inch, C.S. MM, I.D. MM, O.D. MM  
916, 0.116, 1.171, 1.403, 2.95, 29.74, 35.64  
918, 0.116, 1.355, 1.587, 2.95, 34.42, 40.32  
920, 0.116, 1.475, 1.707, 3.00, 37.47, 43.47  
924, 0.116, 1.720, 1.952, 3.00, 43.69, 49.69  
928, 0.116, 2.090, 2.322, 3.00, 53.09, 59.09  
932, 0.116, 2.337, 2.569, 3.00, 59.36, 65.36
