Size, C.S. Inch, I.D. Inch, O.D. Inch, C.S. MM, I.D. MM, O.D. MM
471, 0.275, 21.955, 22.505, 6.99, 557.66, 571.64
472, 0.275, 22.940, 23.490, 6.99, 582.68, 596.66
473, 0.275, 23.940, 24.490, 6.99, 608.08, 622.06
474, 0.275, 24.940, 25.490, 6.99, 633.48, 647.46
475, 0.275, 25.940, 26.490, 6.99, 658.88, 672.86
