Size,C.S. Inch,I.D. Inch,O.D. Inch,C.S. MM,I.D. MM,O.D. MM,Size
131,0.103,1.674,1.880,2.62,42.52,47.76,131
132,0.103,1.737,1.943,2.62,44.12,49.36,132
133,0.103,1.799,2.005,2.62,45.69,50.93,133
134,0.103,1.862,2.068,2.62,47.29,52.54,134
135,0.103,1.925,2.131,2.62,48.90,54.14,135
136,0.103,1.987,2.193,2.62,50.47,55.71,136
137,0.103,2.050,2.256,2.62,52.07,57.31,137
138,0.103,2.112,2.318,2.62,53.64,58.88,138
139,0.103,2.175,2.381,2.62,55.25,60.49,139
140,0.103,2.237,2.443,2.62,56.82,62.06,140
141,0.103,2.300,2.506,2.62,58.42,63.66,141
142,0.103,2.362,2.568,2.62,59.99,65.23,142
143,0.103,2.425,2.631,2.62,61.60,66.84,143
144,0.103,2.487,2.693,2.62,63.17,68.41,144
145,0.103,2.550,2.756,2.62,64.77,70.01,145
146,0.103,2.612,2.818,2.62,66.34,71.58,146
147,0.103,2.675,2.881,2.62,67.95,73.19,147
148,0.103,2.737,2.943,2.62,69.52,74.76,148
149,0.103,2.800,3.006,2.62,71.12,76.36,149
150,0.103,2.862,3.068,2.62,72.69,77.93,150
151,0.103,2.987,3.193,2.62,75.87,81.11,151
152,0.103,3.237,3.443,2.62,82.22,87.46,152
153,0.103,3.487,3.693,2.62,88.57,93.81,153
154,0.103,3.737,3.943,2.62,94.92,100.16,154
155,0.103,3.987,4.193,2.62,101.27,106.51,155
156,0.103,4.237,4.443,2.62,107.62,112.86,156
157,0.103,4.487,4.693,2.62,113.97,119.21,157
158,0.103,4.737,4.943,2.62,120.32,125.56,158
159,0.103,4.987,5.193,2.62,126.67,131.91,159
160,0.103,5.237,5.443,2.62,133.02,138.26,160
